# t (s), V (Volts)
0.001000, -1.080877
0.002000, 1.441554
0.003000, -0.276790
0.004000, 2.415192
0.005000, 2.646332
0.006000, -0.580244
0.007000, 2.759074
0.008000, 0.677321
0.009000, 0.787778
0.010000, 1.570885
0.011000, 2.374789
0.012000, 1.589202
0.013000, 0.542571
0.014000, 0.988056
0.015000, 1.096793
0.016000, 0.404771
0.017000, 0.981688
0.018000, 0.573886
0.019000, 0.727911
0.020000, 0.469144
0.021000, 0.140751
0.022000, 1.968140
0.023000, 2.623270
0.024000, 2.198334
0.025000, 0.807745
0.026000, 3.762333
0.027000, 0.702579
0.028000, 0.078777
0.029000, 2.377224
0.030000, 1.850679
0.031000, -0.181274
0.032000, -0.214408
0.033000, 1.071534
0.034000, 1.460042
0.035000, 1.066585
0.036000, -0.639541
0.037000, 0.538583
0.038000, 1.461905
0.039000, 2.340514
0.040000, 1.882700
0.041000, 0.185691
0.042000, -0.203319
0.043000, 1.358181
0.044000, 0.069773
0.045000, 0.881881
0.046000, 1.057667
0.047000, -0.091509
0.048000, 0.393463
0.049000, 0.889243
0.050000, 0.056629
0.051000, -0.231401
0.052000, -0.152205
0.053000, -0.146232
0.054000, 1.866744
0.055000, 0.382773
0.056000, 0.055258
0.057000, 0.816498
0.058000, 0.015077
0.059000, 1.032370
0.060000, 0.130196
0.061000, 0.781355
0.062000, 2.829920
0.063000, 1.676952
0.064000, 1.260287
0.065000, -1.154635
0.066000, 1.714556
0.067000, 2.030302
0.068000, 0.749249
0.069000, -0.213272
0.070000, -1.026938
0.071000, 1.062058
0.072000, 0.443003
0.073000, 1.967403
0.074000, 2.294851
0.075000, 0.576507
0.076000, 0.802985
0.077000, -0.010808
0.078000, -0.398519
0.079000, 0.581272
0.080000, 1.335793
0.081000, 0.378060
0.082000, -0.500506
0.083000, 0.732788
0.084000, 0.964402
0.085000, -0.551745
0.086000, 0.476194
0.087000, -0.210799
0.088000, 3.927821
0.089000, 1.313764
0.090000, 1.231587
0.091000, 1.424544
0.092000, -0.925594
0.093000, 1.521995
0.094000, 1.102696
0.095000, -0.693583
0.096000, -0.055337
0.097000, 0.980985
0.098000, -0.284675
0.099000, -0.267195
0.100000, 1.579315
0.101000, 0.785134
0.102000, 1.463382
0.103000, 1.911888
0.104000, 0.292771
0.105000, -0.546007
0.106000, 2.233870
0.107000, 0.493793
0.108000, 1.062465
0.109000, 2.331172
0.110000, 0.946724
0.111000, 1.011878
0.112000, 0.411149
0.113000, 2.713503
0.114000, 1.354870
0.115000, 1.577711
0.116000, 0.914181
0.117000, 1.477255
0.118000, 1.858167
0.119000, 0.490437
0.120000, 1.778627
0.121000, 0.743652
0.122000, 0.447602
0.123000, 1.023533
0.124000, 2.080740
0.125000, 1.422871
0.126000, 0.647680
0.127000, 2.956675
0.128000, 3.147575
0.129000, -0.565038
0.130000, 0.759110
0.131000, 0.332367
0.132000, 1.266884
0.133000, 3.079095
0.134000, 0.103543
0.135000, 0.208466
0.136000, 0.806225
0.137000, 0.427348
0.138000, 1.200974
0.139000, 0.028537
0.140000, 0.862443
0.141000, -0.030270
0.142000, 1.890876
0.143000, -0.210946
0.144000, 1.709726
0.145000, 0.177408
0.146000, 2.190265
0.147000, 1.691567
0.148000, 0.438592
0.149000, -0.257166
0.150000, 0.089098
0.151000, 0.449151
0.152000, 0.608558
0.153000, 2.189418
0.154000, 0.632704
0.155000, 0.632631
0.156000, 0.872213
0.157000, 1.604729
0.158000, 2.415896
0.159000, 1.369007
0.160000, 0.618934
0.161000, -0.054439
0.162000, -0.266921
0.163000, -0.186493
0.164000, 4.228721
0.165000, 2.366111
0.166000, 1.493621
0.167000, 1.827339
0.168000, 0.705119
0.169000, -1.263489
0.170000, 1.390543
0.171000, 0.905805
0.172000, 0.770422
0.173000, 1.125163
0.174000, 1.141275
0.175000, 1.089071
0.176000, 0.737543
0.177000, 0.492750
0.178000, -0.502065
0.179000, 0.542057
0.180000, 1.984805
0.181000, 1.290385
0.182000, -0.177240
0.183000, 1.287307
0.184000, 0.023145
0.185000, 0.976557
0.186000, -0.354089
0.187000, 0.827846
0.188000, 1.959382
0.189000, -0.475175
0.190000, 1.524727
0.191000, 2.309061
0.192000, 1.651270
0.193000, 1.689071
0.194000, 2.006146
0.195000, 0.739557
0.196000, 1.150719
0.197000, 1.247594
0.198000, 1.135127
0.199000, -0.235331
0.200000, 1.163218
0.201000, 0.632276
0.202000, -0.512426
0.203000, 0.915081
0.204000, 1.932744
0.205000, 0.905982
0.206000, 1.839285
0.207000, 1.205924
0.208000, 1.574985
0.209000, 1.384947
0.210000, 1.190649
0.211000, 0.599447
0.212000, 0.715938
0.213000, 1.958839
0.214000, 1.732553
0.215000, 2.626881
0.216000, 0.181409
0.217000, 3.044341
0.218000, 0.284802
0.219000, 0.735994
0.220000, 3.166140
0.221000, 0.363150
0.222000, -0.078767
0.223000, 1.002059
0.224000, 1.958085
0.225000, 1.858282
0.226000, 0.895461
0.227000, 2.439286
0.228000, -0.258984
0.229000, 2.349950
0.230000, 0.689282
0.231000, -0.809464
0.232000, 2.242026
0.233000, 0.382217
0.234000, 2.016214
0.235000, 1.509170
0.236000, 2.079622
0.237000, 0.523176
0.238000, 1.660398
0.239000, -1.319834
0.240000, 2.967640
0.241000, 1.366910
0.242000, 1.092373
0.243000, 2.062568
0.244000, 0.571501
0.245000, 1.050452
0.246000, -1.218001
0.247000, 0.578704
0.248000, 3.513535
0.249000, 2.347341
0.250000, 2.106185
0.251000, 1.092750
0.252000, 1.382809
0.253000, 2.047869
0.254000, 2.031414
0.255000, 1.583246
0.256000, 1.010004
0.257000, 0.914374
0.258000, 0.409476
0.259000, 1.220246
0.260000, 1.084987
0.261000, -0.480741
0.262000, 2.482165
0.263000, 1.646026
0.264000, 0.210637
0.265000, 0.826121
0.266000, 2.970139
0.267000, 0.564751
0.268000, -0.775974
0.269000, 1.009429
0.270000, 0.513340
0.271000, -0.669366
0.272000, 1.581682
0.273000, 1.345188
0.274000, 0.809389
0.275000, 1.885888
0.276000, 0.661929
0.277000, 0.487643
0.278000, -0.089628
0.279000, 2.735418
0.280000, -0.856969
0.281000, 2.211559
0.282000, 2.546559
0.283000, 1.629819
0.284000, 0.886097
0.285000, 0.842966
0.286000, 0.404426
0.287000, 2.194932
0.288000, 1.692179
0.289000, 0.945306
0.290000, 0.739262
0.291000, 1.627228
0.292000, 2.557090
0.293000, 2.259500
0.294000, 2.834869
0.295000, 1.706570
0.296000, 1.471364
0.297000, 1.347827
0.298000, 0.306330
0.299000, 2.147409
0.300000, 1.572815
0.301000, -0.054161
0.302000, 0.225513
0.303000, -0.540683
0.304000, -0.252531
0.305000, 1.348621
0.306000, 1.449073
0.307000, 1.632872
0.308000, 2.945657
0.309000, -0.099552
0.310000, 0.945693
0.311000, 0.674509
0.312000, 1.649032
0.313000, 1.622674
0.314000, 1.760586
0.315000, -0.996336
0.316000, 0.313764
0.317000, -1.295026
0.318000, 1.045012
0.319000, 0.639068
0.320000, 2.063812
0.321000, 2.167919
0.322000, 1.364147
0.323000, 1.393943
0.324000, 1.847128
0.325000, 0.845283
0.326000, 2.035996
0.327000, 1.111869
0.328000, 0.063800
0.329000, 1.921178
0.330000, 0.685187
0.331000, 1.571084
0.332000, -1.431512
0.333000, 0.232562
0.334000, 2.947441
0.335000, -0.059056
0.336000, -0.027380
0.337000, 3.023037
0.338000, 2.310436
0.339000, 1.995190
0.340000, 0.040319
0.341000, -0.887702
0.342000, 1.930495
0.343000, -0.133266
0.344000, 0.381795
0.345000, 1.466588
0.346000, 1.325965
0.347000, 1.153653
0.348000, 1.662231
0.349000, 4.088929
0.350000, 1.862119
0.351000, 0.913514
0.352000, -0.097076
0.353000, 1.499199
0.354000, 1.371370
0.355000, 0.158641
0.356000, -0.351161
0.357000, 0.929015
0.358000, 1.436512
0.359000, 1.798263
0.360000, 2.085003
0.361000, 0.935181
0.362000, 1.542508
0.363000, 1.358915
0.364000, 0.814268
0.365000, 1.013524
0.366000, 0.349906
0.367000, -0.467601
0.368000, 1.467941
0.369000, -0.155381
0.370000, 1.474129
0.371000, 0.563294
0.372000, -1.153651
0.373000, 1.805123
0.374000, 1.393654
0.375000, 0.382990
0.376000, 1.501459
0.377000, 1.998040
0.378000, 2.416509
0.379000, 1.171290
0.380000, -0.440940
0.381000, 0.212418
0.382000, 0.546805
0.383000, 0.747503
0.384000, 0.739378
0.385000, -0.038770
0.386000, 1.131018
0.387000, 1.069603
0.388000, -0.337308
0.389000, 0.664432
0.390000, 1.305460
0.391000, -1.207470
0.392000, 0.377078
0.393000, 1.272786
0.394000, 1.377397
0.395000, 1.839952
0.396000, 2.095794
0.397000, 0.224219
